member_id,password,name,phone,user_status,email,social_login,last_logged_at,created_at
674179,jHuKGKmuIO,홍정훈,010-0781-3854,active,pcoe@daum.net,naver,2024-11-24,2024-10-17
819727,VqxcOJkmrn,박영길,010-2338-8090,active,jeongho05@live.com,google,2024-02-15,2024-03-13
423156,LvUrsxiofW,안미숙,010-6404-6693,active,eunyeonggim@live.com,google,2024-09-28,2024-02-27
285722,4k0G6Hj7Ul,전시우,010-1636-1923,active,ryujihu@nate.com,naver,2024-08-30,2024-09-07
156275,WsTWm72ioQ,김영희,010-1803-6737,active,boramhwang@hotmail.com,facebook,2024-02-13,2024-03-06
355617,ogpAB6rzFN,김현정,010-0002-1568,active,seojuni@daum.net,facebook,2024-09-04,2024-10-12
722038,aIA9QnAOqX,김경자,010-0205-9939,active,seojungim@hanmail.net,kakao,2024-11-18,2024-05-25
302701,XikiCheQOW,심영미,010-7078-4811,active,gimjiyeong@hotmail.com,facebook,2024-04-19,2024-01-20
223877,ApDwBLTMi5,이경수,010-5243-8876,active,eunseogim@live.com,kakao,2024-01-11,2024-11-25
572829,V42yLYjkLe,이영식,010-5829-1644,active,jseo@dreamwiz.com,naver,2024-08-18,2024-07-08
129002,XV6KfMRi9E,김상현,010-5198-9285,active,imdohyeon@dreamwiz.com,google,2024-10-25,2024-07-11
773903,UY4RKsUMMI,이경수,010-0448-8576,active,cunja08@daum.net,google,2024-07-10,2024-05-22
424566,Uk9ZiA7MQ3,최은주,010-5290-8561,active,gimboram@naver.com,google,2024-09-07,2024-03-03
308804,kbuHUKXLh7,진준호,010-0501-5478,active,gyeonghyi38@live.com,google,2024-06-07,2024-08-12
401935,aQ7GMKOQBd,이정웅,010-8133-9584,active,anyeongsug@live.com,facebook,2024-06-12,2024-08-24
205922,ghuRZIoPEJ,심영자,010-0920-4743,active,rna@live.com,google,2024-12-27,2024-11-23
669402,9RO8vTDrYx,장수진,010-5239-5420,active,jiweon97@live.com,google,2024-02-28,2024-08-06
754099,IxzB6aPJdl,양지혜,010-5966-3345,active,ubag@nate.com,facebook,2024-09-27,2024-07-03
311105,K0FkuFXeGZ,최경희,010-8217-7407,active,xgim@nate.com,kakao,2024-07-29,2024-04-10
323168,xEdRAbijEW,안승현,010-0584-7748,active,eunjeong70@nate.com,kakao,2024-08-28,2024-05-12
575760,sRAgxCNQyH,최정식,010-6855-1005,active,eunyeongbag@daum.net,kakao,2024-07-21,2024-10-11
355508,7c2XbxBk6T,이영희,010-6146-0639,active,jihyeon85@nate.com,naver,2024-06-04,2024-01-18
337569,X3vxZEddZh,황옥순,010-1974-0736,active,yeonggil21@live.com,google,2024-11-14,2024-02-23
993677,BXSMtSuNQE,박경수,010-1295-4972,active,yeweonjin@hotmail.com,google,2024-02-20,2024-06-06
254958,EgM7WgIkQ4,한현준,010-7217-3459,active,ksim@live.com,naver,2024-12-30,2024-10-20
901345,PLIcumi2S4,이보람,010-9031-8101,active,jgang@live.com,google,2024-12-05,2024-06-08
835336,1ZhjzJUOOA,나지영,010-1712-7297,active,igeonu@gmail.com,google,2024-12-05,2024-12-07
838893,wwUUwaWHzo,고서현,010-3811-7721,active,myun@daum.net,naver,2024-08-24,2024-03-20
294741,svBHYIhNdF,곽은경,010-7822-0126,active,mijeongbag@hanmail.net,facebook,2024-01-09,2024-11-13
837122,0VBuz1PZwI,이영철,010-0863-1004,active,jongsu73@gmail.com,google,2024-07-12,2024-01-10
578038,QVMHmVxUXG,김지영,010-4072-0220,active,gimgyeongsug@hotmail.com,google,2024-03-11,2024-04-04
352830,3PukP9piNn,손지아,010-5300-9187,active,yangyeongsu@nate.com,naver,2024-10-18,2024-03-19
647834,o94yAyzQ2L,박윤서,010-2710-1837,active,gimjiweon@daum.net,kakao,2024-10-31,2024-07-20
247112,YZYwaCeq4m,김준호,010-4391-6694,active,seonghungweon@live.com,facebook,2024-08-16,2024-05-10
974309,FdRMFtyNpJ,김예진,010-5433-0576,active,baesunja@hanmail.net,google,2024-09-05,2024-09-15
701407,6eoWKizF1Q,이성현,010-6404-4561,active,jumyeongja@naver.com,naver,2024-11-20,2024-08-07
628249,AmGcPvQrK7,강은영,010-0915-8723,active,jieungim@gmail.com,kakao,2025-01-01,2024-01-29
341876,RzyyJX4LXT,김상현,010-4538-9935,active,jeongho32@gmail.com,google,2024-05-30,2024-07-08
540229,ZvTcic0V5i,최준호,010-8149-0147,active,gyeongsu15@gmail.com,facebook,2024-06-13,2024-06-10
521074,Nn8DEesiEK,안지은,010-0396-7653,active,minseogbae@naver.com,naver,2024-11-01,2024-06-14
444676,8afTgmJdJV,홍정남,010-0173-5116,active,junseogim@hanmail.net,facebook,2024-03-26,2024-12-23
808921,rGuoQbAJdP,김건우,010-9360-1312,active,bagmisug@hotmail.com,naver,2024-08-21,2024-05-11
418746,X9vVnrINsL,김미영,010-8602-9059,active,mgim@gmail.com,kakao,2024-12-26,2024-11-09
235847,ibLBKVOI9w,이명자,010-4748-4187,active,ujinhwang@daum.net,facebook,2024-07-07,2024-05-08
118829,ytMsoknXQt,박민준,010-0931-0906,active,ihyeonju@daum.net,naver,2024-09-01,2024-07-14
915294,itEqzCv0A5,오영길,010-0808-3188,active,rmin@naver.com,google,2024-09-25,2024-03-04
473394,woOAZD3xy7,박경수,010-9822-7847,active,heogeonu@dreamwiz.com,facebook,2024-02-01,2024-09-01
569427,4yf6hu78ZU,이병철,010-6865-2731,active,doyungim@hotmail.com,naver,2025-01-05,2024-11-25
108221,7w9ORskEXi,배영일,010-7540-3918,active,boraman@naver.com,naver,2024-06-18,2024-06-15
